"","year","stcd","ptynow","inc3","dv","dvp","state","south","dpres"
"1",1946,104,1,1,88.1,84.5,1,1,NA
"2",1946,107,1,1,72.7,65.9,1,1,NA
"3",1946,109,1,0,94.1,81.7,1,1,NA
"4",1946,405,1,1,85.2,87.1,4,1,NA
"5",1946,504,1,1,52.9,50.1,5,0,NA
"6",1946,507,1,0,43.8,57.9,5,0,NA
"7",1946,511,1,1,46.9,56,5,0,NA
"8",1946,512,1,1,43.3,55.3,5,0,NA
"9",1946,513,1,1,48.2,54.9,5,0,NA
"10",1946,514,1,1,54.3,51.5,5,0,NA
"11",1946,516,1,0,37,54.1,5,0,NA
"12",1946,518,1,1,47.2,55.6,5,0,NA
"13",1946,520,-1,-1,40.6,46.5,5,0,NA
"14",1946,521,1,1,52.7,58.5,5,0,NA
"15",1946,523,1,1,43.7,55.1,5,0,NA
"16",1946,601,-1,-1,52.1,47.8,6,0,NA
"17",1946,602,-1,-1,33.4,36.8,6,0,NA
"18",1946,603,-1,-1,45.4,43.7,6,0,NA
"19",1946,604,-1,-1,41.3,38.3,6,0,NA
"20",1946,701,1,1,46.9,54,7,0,NA
"21",1946,702,1,1,44.7,51.2,7,0,NA
"22",1946,703,1,1,41.1,51.5,7,0,NA
"23",1946,704,-1,0,38.3,49.5,7,0,NA
"24",1946,705,-1,0,43.5,47.7,7,0,NA
"25",1946,706,1,1,42.4,51.2,7,0,NA
"26",1946,801,1,1,43.6,50.3,8,0,NA
"27",1946,904,1,0,71.9,72,9,1,NA
"28",1946,905,1,1,61.3,67.5,9,1,NA
"29",1946,906,1,1,71.1,69.7,9,1,NA
"30",1946,1201,1,1,49.5,56.6,12,0,NA
"31",1946,1202,-1,0,39.3,47.7,12,0,NA
"32",1946,1301,1,1,56.8,62,13,0,NA
"33",1946,1302,1,1,48.7,57.3,13,0,NA
"34",1946,1303,1,1,42.8,52,13,0,NA
"35",1946,1304,1,1,70.7,80.4,13,0,NA
"36",1946,1305,1,1,71.6,76.3,13,0,NA
"37",1946,1306,1,1,52,60.1,13,0,NA
"38",1946,1307,1,1,45,54.6,13,0,NA
"39",1946,1308,1,1,77.3,79.2,13,0,NA
"40",1946,1309,1,1,48.7,52.8,13,0,NA
"41",1946,1310,-1,-1,35.3,44.2,13,0,NA
"42",1946,1311,-1,-1,25.1,33.8,13,0,NA
"43",1946,1312,-1,-1,30.9,39.1,13,0,NA
"44",1946,1313,-1,-1,22.2,30,13,0,NA
"45",1946,1314,-1,-1,37.9,45.6,13,0,NA
"46",1946,1315,-1,-1,35.7,40.7,13,0,NA
"47",1946,1316,-1,-1,32.5,41,13,0,NA
"48",1946,1317,-1,-1,28.8,33.7,13,0,NA
"49",1946,1318,-1,0,34.9,43.1,13,0,NA
"50",1946,1319,-1,-1,37.5,44.2,13,0,NA
"51",1946,1320,-1,-1,41.2,44.4,13,0,NA
"52",1946,1321,-1,-1,44.9,44.3,13,0,NA
"53",1946,1322,1,1,50.7,50.8,13,0,NA
"54",1946,1323,-1,-1,45.1,45.3,13,0,NA
"55",1946,1325,-1,-1,40.2,46.5,13,0,NA
"56",1946,1326,1,1,44.9,52.3,13,0,NA
"57",1946,1401,1,1,52.6,61.7,14,0,NA
"58",1946,1402,-1,-1,38.1,38.1,14,0,NA
"59",1946,1403,-1,-1,43.7,47.9,14,0,NA
"60",1946,1404,-1,-1,39.9,39.8,14,0,NA
"61",1946,1405,-1,-1,43.5,45.9,14,0,NA
"62",1946,1406,-1,-1,42.1,44.6,14,0,NA
"63",1946,1407,-1,-1,48.5,45.8,14,0,NA
"64",1946,1408,-1,0,47.8,47.8,14,0,NA
"65",1946,1409,-1,-1,43.7,44,14,0,NA
"66",1946,1410,-1,-1,38.7,45,14,0,NA
"67",1946,1411,1,1,51.4,51.3,14,0,NA
"68",1946,1501,-1,-1,38.5,43.3,15,0,NA
"69",1946,1502,-1,-1,40.9,44.1,15,0,NA
"70",1946,1503,-1,-1,38,43.2,15,0,NA
"71",1946,1504,-1,-1,41.6,45.2,15,0,NA
"72",1946,1505,-1,-1,40.6,45.8,15,0,NA
"73",1946,1506,-1,-1,36.6,41.1,15,0,NA
"74",1946,1507,-1,-1,37,38.4,15,0,NA
"75",1946,1508,-1,-1,31.4,43.8,15,0,NA
"76",1946,1601,-1,-1,35.7,32.7,16,0,NA
"77",1946,1602,-1,-1,41.2,40.9,16,0,NA
"78",1946,1603,-1,0,44.7,39.8,16,0,NA
"79",1946,1604,-1,-1,43.9,41.5,16,0,NA
"80",1946,1605,-1,-1,37.4,31,16,0,NA
"81",1946,1606,-1,0,39.5,34,16,0,NA
"82",1946,1701,1,1,66.7,69.9,17,0,NA
"83",1946,1702,1,1,56.6,57.5,17,0,NA
"84",1946,1703,1,1,41.9,57.4,17,0,NA
"85",1946,1704,1,1,53,54.7,17,0,NA
"86",1946,1705,1,1,51.2,58.1,17,0,NA
"87",1946,1706,1,1,55,58.9,17,0,NA
"88",1946,1707,1,1,40.6,52.6,17,0,NA
"89",1946,1708,1,1,52.6,54.4,17,0,NA
"90",1946,1901,-1,-1,40.4,31.2,19,0,NA
"91",1946,1902,-1,-1,39.3,32.2,19,0,NA
"92",1946,1903,-1,-1,27.1,22.1,19,0,NA
"93",1946,2001,1,1,49.1,50.8,20,0,NA
"94",1946,2002,1,0,52.4,57,20,0,NA
"95",1946,2003,1,1,63.9,73.5,20,0,NA
"96",1946,2004,1,1,57.2,59.2,20,0,NA
"97",1946,2005,1,1,58.2,64.8,20,0,NA
"98",1946,2006,-1,-1,41.9,42.1,20,0,NA
"99",1946,2101,-1,-1,43.9,49.5,21,0,NA
"100",1946,2102,-1,-1,48.6,44.3,21,0,NA
"101",1946,2103,1,1,62.2,61.5,21,0,NA
"102",1946,2104,-1,-1,50.5,44.5,21,0,NA
"103",1946,2105,-1,-1,28.1,26.8,21,0,NA
"104",1946,2106,-1,-1,29.8,33,21,0,NA
"105",1946,2107,1,1,61.7,67.9,21,0,NA
"106",1946,2108,-1,-1,36.5,42.5,21,0,NA
"107",1946,2109,-1,-1,38.3,41.5,21,0,NA
"108",1946,2110,-1,-1,36,44.2,21,0,NA
"109",1946,2111,1,0,71.9,65.6,21,0,NA
"110",1946,2113,-1,-1,32.5,34.2,21,0,NA
"111",1946,2114,-1,-1,36.4,38,21,0,NA
"112",1946,2201,1,1,66.6,80.9,22,0,NA
"113",1946,2202,-1,-1,28.2,35,22,0,NA
"114",1946,2203,-1,-1,30.3,37,22,0,NA
"115",1946,2204,-1,-1,26.8,35.6,22,0,NA
"116",1946,2205,-1,-1,28.4,42.3,22,0,NA
"117",1946,2206,-1,-1,42.3,44.5,22,0,NA
"118",1946,2207,-1,-1,25.2,33.6,22,0,NA
"119",1946,2208,-1,-1,26.7,32.2,22,0,NA
"120",1946,2209,-1,-1,27.8,37.4,22,0,NA
"121",1946,2210,-1,-1,28.3,35,22,0,NA
"122",1946,2211,-1,-1,34,40.8,22,0,NA
"123",1946,2212,1,1,45.4,50.5,22,0,NA
"124",1946,2213,1,1,47.2,58.1,22,0,NA
"125",1946,2214,1,1,46.7,54.7,22,0,NA
"126",1946,2215,1,1,52.3,63.8,22,0,NA
"127",1946,2216,1,1,52.9,61.6,22,0,NA
"128",1946,2217,-1,-1,34.9,43,22,0,NA
"129",1946,2301,-1,-1,31.6,38.3,23,0,NA
"130",1946,2302,-1,-1,24,24.3,23,0,NA
"131",1946,2303,1,0,48.5,50.9,23,0,NA
"132",1946,2304,1,1,47.9,50.9,23,0,NA
"133",1946,2305,-1,-1,41.7,43.4,23,0,NA
"134",1946,2306,-1,-1,42.6,33.7,23,0,NA
"135",1946,2307,-1,-1,34.6,34.1,23,0,NA
"136",1946,2308,-1,-1,57.7,48.2,23,0,NA
"137",1946,2309,-1,-1,36.1,40.8,23,0,NA
"138",1946,2501,-1,-1,49.7,49.3,25,0,NA
"139",1946,2502,-1,-1,48.9,49.9,25,0,NA
"140",1946,2503,-1,-1,47.2,49.4,25,0,NA
"141",1946,2504,1,1,55.1,57.2,25,0,NA
"142",1946,2505,1,0,46.3,52.6,25,0,NA
"143",1946,2506,-1,-1,41.4,43,25,0,NA
"144",1946,2507,-1,-1,34.6,36,25,0,NA
"145",1946,2508,1,1,48.9,50.5,25,0,NA
"146",1946,2509,1,1,53.9,53.2,25,0,NA
"147",1946,2510,1,1,60.6,56.7,25,0,NA
"148",1946,2511,1,1,49.2,56.7,25,0,NA
"149",1946,2512,-1,-1,41.8,48.2,25,0,NA
"150",1946,2601,1,1,57.6,68.6,26,0,NA
"151",1946,2602,-1,-1,45.5,45.8,26,0,NA
"152",1946,2701,-1,-1,33.6,30.1,27,0,NA
"153",1946,2702,-1,-1,41.7,40.5,27,0,NA
"154",1946,2703,-1,-1,23.9,28.9,27,0,NA
"155",1946,2704,-1,-1,28.7,32.1,27,0,NA
"156",1946,2801,1,0,41.2,63.1,28,0,NA
"157",1946,2901,-1,-1,40.3,49.1,29,0,NA
"158",1946,2902,-1,0,35.1,45.6,29,0,NA
"159",1946,3001,-1,-1,36.5,49.5,30,0,NA
"160",1946,3002,-1,-1,32.9,45.6,30,0,NA
"161",1946,3003,-1,-1,34,43,30,0,NA
"162",1946,3004,-1,0,47.4,44.3,30,0,NA
"163",1946,3005,-1,-1,38.6,41.2,30,0,NA
"164",1946,3006,-1,-1,33.8,43.7,30,0,NA
"165",1946,3007,-1,-1,31,33.9,30,0,NA
"166",1946,3008,-1,-1,28.6,41.3,30,0,NA
"167",1946,3009,-1,-1,31,36.5,30,0,NA
"168",1946,3010,-1,-1,46.5,46.4,30,0,NA
"169",1946,3011,-1,-1,38.3,46.4,30,0,NA
"170",1946,3012,-1,-1,35.3,48.3,30,0,NA
"171",1946,3013,1,1,65.7,70.1,30,0,NA
"172",1946,3014,1,1,63.5,63.2,30,0,NA
"173",1946,3201,-1,0,21.4,30.9,32,0,NA
"174",1946,3202,-1,-1,21.6,32.1,32,0,NA
"175",1946,3203,-1,-1,24.5,39.4,32,0,NA
"176",1946,3204,1,0,40,52.8,32,0,NA
"177",1946,3205,1,0,47,54.3,32,0,NA
"178",1946,3206,1,1,46.1,55.2,32,0,NA
"179",1946,3207,1,1,57.5,63.4,32,0,NA
"180",1946,3208,1,1,53.9,59.5,32,0,NA
"181",1946,3209,1,1,60.2,64.7,32,0,NA
"182",1946,3210,1,1,63.1,68.2,32,0,NA
"183",1946,3211,1,1,60.4,65.8,32,0,NA
"184",1946,3212,1,1,54,55,32,0,NA
"185",1946,3213,1,1,53.5,60.2,32,0,NA
"186",1946,3214,1,1,75,72.5,32,0,NA
"187",1946,3215,1,1,78.9,80.1,32,0,NA
"188",1946,3216,-1,-1,38.8,46.5,32,0,NA
"189",1946,3217,-1,0,37.3,42.8,32,0,NA
"190",1946,3219,1,1,71.4,73.3,32,0,NA
"191",1946,3220,1,1,61.1,70.8,32,0,NA
"192",1946,3221,1,0,46.5,69.3,32,0,NA
"193",1946,3223,1,1,63.3,79.5,32,0,NA
"194",1946,3224,1,1,69.9,84.8,32,0,NA
"195",1946,3225,1,1,51.2,69.5,32,0,NA
"196",1946,3226,1,1,45.8,56.4,32,0,NA
"197",1946,3227,-1,-1,31.5,38.1,32,0,NA
"198",1946,3228,-1,-1,24.6,34.5,32,0,NA
"199",1946,3229,1,0,39.8,53,32,0,NA
"200",1946,3230,-1,-1,30.5,37,32,0,NA
"201",1946,3231,-1,-1,40.8,40,32,0,NA
"202",1946,3232,1,1,55.1,57.2,32,0,NA
"203",1946,3233,-1,-1,30.1,34.4,32,0,NA
"204",1946,3234,-1,-1,25.8,37.1,32,0,NA
"205",1946,3235,-1,-1,45.7,47.7,32,0,NA
"206",1946,3236,-1,0,36.7,46.8,32,0,NA
"207",1946,3237,-1,-1,28.3,30.8,32,0,NA
"208",1946,3238,-1,-1,27.9,32.5,32,0,NA
"209",1946,3239,-1,-1,27.4,29.1,32,0,NA
"210",1946,3240,1,1,39.5,50.4,32,0,NA
"211",1946,3241,-1,-1,28.5,36.8,32,0,NA
"212",1946,3242,-1,-1,37.4,42.8,32,0,NA
"213",1946,3243,-1,-1,33.2,48.9,32,0,NA
"214",1946,3244,-1,-1,42.5,49.9,32,0,NA
"215",1946,3245,-1,-1,27.5,35.9,32,0,NA
"216",1946,3301,1,1,89.2,90.6,33,1,NA
"217",1946,3303,1,1,66.7,71.6,33,1,NA
"218",1946,3304,1,1,65.7,74.7,33,1,NA
"219",1946,3305,1,1,62.9,66.5,33,1,NA
"220",1946,3306,1,1,63.4,73.3,33,1,NA
"221",1946,3307,1,1,73.9,79.3,33,1,NA
"222",1946,3308,1,0,54.2,58.8,33,1,NA
"223",1946,3309,1,1,54.9,58.8,33,1,NA
"224",1946,3310,1,0,53.8,65.4,33,1,NA
"225",1946,3311,1,1,58.5,65.6,33,1,NA
"226",1946,3312,1,0,60.5,64.2,33,1,NA
"227",1946,3501,-1,-1,35.8,43.2,35,0,NA
"228",1946,3502,-1,-1,36.8,44,35,0,NA
"229",1946,3503,1,1,48,52.6,35,0,NA
"230",1946,3504,-1,-1,40.8,38.8,35,0,NA
"231",1946,3505,-1,-1,39.7,31.9,35,0,NA
"232",1946,3506,-1,-1,45.2,48.2,35,0,NA
"233",1946,3507,-1,-1,32,38.2,35,0,NA
"234",1946,3508,-1,-1,36,40.2,35,0,NA
"235",1946,3509,-1,-1,49.9,48.4,35,0,NA
"236",1946,3510,-1,-1,33.4,35.6,35,0,NA
"237",1946,3511,-1,-1,39.4,46.4,35,0,NA
"238",1946,3512,-1,-1,38,45.7,35,0,NA
"239",1946,3514,1,1,53.6,50.6,35,0,NA
"240",1946,3515,-1,-1,46.8,40,35,0,NA
"241",1946,3516,1,1,44.2,53.1,35,0,NA
"242",1946,3517,-1,-1,34.7,37.2,35,0,NA
"243",1946,3518,-1,-1,41.2,48.9,35,0,NA
"244",1946,3519,1,1,59.8,63.4,35,0,NA
"245",1946,3520,1,1,67,75.8,35,0,NA
"246",1946,3521,1,1,64,77.7,35,0,NA
"247",1946,3522,-1,-1,28.3,42.6,35,0,NA
"248",1946,3523,-1,-1,40.5,46.9,35,0,NA
"249",1946,3601,-1,-1,45.5,48.9,36,0,NA
"250",1946,3602,1,1,63.1,58,36,0,NA
"251",1946,3603,1,0,85,76.2,36,0,NA
"252",1946,3604,1,0,64.4,61.7,36,0,NA
"253",1946,3605,1,1,52,62.9,36,0,NA
